transaction_id,date,customer_id,customer_segment,product_category,product_price,quantity,discount_applied,marketing_channel,region,total_revenue,customer_satisfaction,returned,estimated_revenue,month,is_weekend,binary_discount,revenue_per_unit
TXN-00180,2025-01-01,CUST-3509,New,Beauty,324.06,1,0.1,Email,Central,295.34,4.0,0,291.654,2025-01,0,1,295.34
TXN-00303,2025-01-02,CUST-2891,Returning,Beauty,352.42,5,0.0,Direct,North,1758.36,4.0,0,1762.1000000000001,2025-01,0,0,351.67199999999997
TXN-00421,2025-01-02,CUST-4935,Returning,Books,457.24,2,0.0,Organic Search,Central,925.65,4.0,0,914.48,2025-01,0,0,462.825
TXN-00163,2025-01-02,CUST-2020,Returning,Electronics,52.72,1,0.1,Direct,Central,43.75,4.0,0,47.448,2025-01,0,1,43.75
TXN-00032,2025-01-04,CUST-3205,New,Books,299.91,3,0.15,Direct,East,783.52,5.0,0,764.7705,2025-01,1,1,261.17333333333335
TXN-00231,2025-01-04,CUST-2355,Returning,Books,33.23,4,0.05,Social Media,West,120.65,3.0,0,126.27399999999999,2025-01,1,1,30.1625
TXN-00391,2025-01-05,CUST-1994,VIP,Electronics,126.58,1,0.1,Social Media,North,77.68,5.0,0,113.922,2025-01,1,1,77.68
TXN-00367,2025-01-05,CUST-4185,VIP,Clothing,51.23,4,0.0,Referral,Central,185.93,5.0,0,204.92,2025-01,1,0,46.4825
TXN-00432,2025-01-05,CUST-3137,Returning,Home & Garden,330.99,3,0.05,Social Media,Central,950.79,4.0,0,943.3215,2025-01,1,1,316.93
TXN-00150,2025-01-06,CUST-4626,New,Books,423.14,5,0.0,Organic Search,North,2098.29,4.0,0,2115.7,2025-01,0,0,419.658
TXN-00291,2025-01-08,CUST-1110,New,Clothing,204.72,4,0.05,Organic Search,South,787.86,3.0,0,777.9359999999999,2025-01,0,1,196.965
TXN-00184,2025-01-10,CUST-3067,VIP,Clothing,351.19,5,0.05,Email,South,1668.23,5.0,0,1668.1525,2025-01,0,1,333.646
TXN-00225,2025-01-11,CUST-1625,New,Sports,201.22,2,0.0,Paid Search,North,382.68,4.0,0,402.44,2025-01,1,0,191.34
TXN-00464,2025-01-13,CUST-2377,Returning,Beauty,171.22,1,0.15,Referral,North,147.03,4.0,0,145.537,2025-01,0,1,147.03
TXN-00484,2025-01-13,CUST-3116,Returning,Electronics,335.5,4,0.0,Social Media,West,1330.4,3.0,0,1342.0,2025-01,0,0,332.6
TXN-00003,2025-01-13,CUST-2069,Returning,Electronics,299.73,4,0.0,Email,East,1186.95,3.0,0,1198.92,2025-01,0,0,296.7375
TXN-00021,2025-01-14,CUST-4684,Returning,Beauty,104.46,2,0.05,Organic Search,South,214.8,4.0,1,198.474,2025-01,0,1,107.4
TXN-00499,2025-01-15,CUST-3010,VIP,Clothing,375.98,2,0.1,Email,East,648.24,5.0,0,676.764,2025-01,0,1,324.12
TXN-00015,2025-01-16,CUST-2284,New,Clothing,264.86,5,0.0,Email,Central,1324.97,3.0,0,1324.3000000000002,2025-01,0,0,264.994
TXN-00103,2025-01-17,CUST-3698,New,Clothing,120.74,5,0.0,Email,South,622.67,4.0,0,603.6999999999999,2025-01,0,0,124.53399999999999
TXN-00238,2025-01-17,CUST-2720,New,Home & Garden,268.42,2,0.15,Organic Search,West,468.31,3.0,0,456.314,2025-01,0,1,234.155
TXN-00014,2025-01-17,CUST-4221,New,Beauty,118.15,3,0.0,Organic Search,South,370.52,4.0,0,354.45000000000005,2025-01,0,0,123.50666666666666
TXN-00438,2025-01-19,CUST-4766,Returning,Clothing,240.33,4,0.0,Social Media,South,987.94,3.0,0,961.32,2025-01,1,0,246.985
